stage,run,writer_target,k,target_id,call_records,error_records,missing_usage_records,cost_usd
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233458-347229__authorization-memory-writer_ttc__procurement-v1-qwen-k2-deepseek-independent-review,qwen_plus_0728_openrouter,2,deepseek_baseten,48,0,0,0.6644798999999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233458-347229__authorization-memory-writer_ttc__procurement-v1-qwen-k2-deepseek-independent-review,qwen_plus_0728_openrouter,2,gptoss_baseten,288,0,0,0.0833279
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233620-661229__authorization-memory-writer_ttc__procurement-v1-nemotron-k2-deepseek-independent-review,nemotron_3_ultra_baseten,2,deepseek_baseten,48,2,2,0.59910491
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233620-661229__authorization-memory-writer_ttc__procurement-v1-nemotron-k2-deepseek-independent-review,nemotron_3_ultra_baseten,2,gptoss_baseten,288,0,0,0.08184559999999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233727-637907__authorization-memory-writer_ttc__procurement-v1-grok-k2-deepseek-independent-review,grok_4_3_openrouter,2,deepseek_baseten,48,0,0,0.5410679349999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233727-637907__authorization-memory-writer_ttc__procurement-v1-grok-k2-deepseek-independent-review,grok_4_3_openrouter,2,gptoss_baseten,288,0,0,0.07764209999999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233831-375645__authorization-memory-writer_ttc__procurement-v1-kimi-k2-deepseek-independent-review,kimi_baseten,2,deepseek_baseten,48,0,0,0.62776184
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233831-375645__authorization-memory-writer_ttc__procurement-v1-kimi-k2-deepseek-independent-review,kimi_baseten,2,gptoss_baseten,289,1,1,0.0806011
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234050-707546__authorization-memory-writer_ttc__procurement-v1-glm-k2-deepseek-independent-review,glm_5_2_baseten,2,deepseek_baseten,48,2,2,0.6363873099999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234050-707546__authorization-memory-writer_ttc__procurement-v1-glm-k2-deepseek-independent-review,glm_5_2_baseten,2,gptoss_baseten,288,0,0,0.0832348
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234301-813477__authorization-memory-writer_ttc__procurement-v1-qwen-k4-deepseek-independent-review,qwen_plus_0728_openrouter,4,deepseek_baseten,48,19,19,0.42862638
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234301-813477__authorization-memory-writer_ttc__procurement-v1-qwen-k4-deepseek-independent-review,qwen_plus_0728_openrouter,4,gptoss_baseten,288,0,0,0.0848109
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234419-804034__authorization-memory-writer_ttc__procurement-v1-nemotron-k4-deepseek-independent-review,nemotron_3_ultra_baseten,4,deepseek_baseten,48,14,14,0.52880688
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234419-804034__authorization-memory-writer_ttc__procurement-v1-nemotron-k4-deepseek-independent-review,nemotron_3_ultra_baseten,4,gptoss_baseten,288,0,0,0.0819862
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234532-148331__authorization-memory-writer_ttc__procurement-v1-grok-k4-deepseek-independent-review,grok_4_3_openrouter,4,deepseek_baseten,48,7,7,0.557626355
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234532-148331__authorization-memory-writer_ttc__procurement-v1-grok-k4-deepseek-independent-review,grok_4_3_openrouter,4,gptoss_baseten,288,0,0,0.0790944
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234643-441037__authorization-memory-writer_ttc__procurement-v1-kimi-k4-deepseek-independent-review,kimi_baseten,4,deepseek_baseten,48,10,10,0.5391577049999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234643-441037__authorization-memory-writer_ttc__procurement-v1-kimi-k4-deepseek-independent-review,kimi_baseten,4,gptoss_baseten,288,0,0,0.08103729999999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234750-797595__authorization-memory-writer_ttc__procurement-v1-glm-k4-deepseek-independent-review,glm_5_2_baseten,4,deepseek_baseten,48,13,13,0.5519106
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234750-797595__authorization-memory-writer_ttc__procurement-v1-glm-k4-deepseek-independent-review,glm_5_2_baseten,4,gptoss_baseten,288,0,0,0.0842518
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013535-064282__authorization-memory-writer_ttc__procurement-v1-qwen-k8-deepseek-independent-review,qwen_plus_0728_openrouter,8,deepseek_baseten,48,2,2,0.87431868
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013535-064282__authorization-memory-writer_ttc__procurement-v1-qwen-k8-deepseek-independent-review,qwen_plus_0728_openrouter,8,gptoss_baseten,288,0,0,0.0846662
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013701-233023__authorization-memory-writer_ttc__procurement-v1-kimi-k8-deepseek-independent-review,kimi_baseten,8,deepseek_baseten,48,2,2,0.8510587949999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013701-233023__authorization-memory-writer_ttc__procurement-v1-kimi-k8-deepseek-independent-review,kimi_baseten,8,gptoss_baseten,288,0,0,0.0806567
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013816-250409__authorization-memory-writer_ttc__procurement-v1-grok-k8-deepseek-independent-review,grok_4_3_openrouter,8,deepseek_baseten,48,0,0,0.79292148
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013816-250409__authorization-memory-writer_ttc__procurement-v1-grok-k8-deepseek-independent-review,grok_4_3_openrouter,8,gptoss_baseten,288,0,0,0.0800936
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013929-414167__authorization-memory-writer_ttc__procurement-v1-nemotron-k8-deepseek-independent-review,nemotron_3_ultra_baseten,8,deepseek_baseten,48,1,1,0.8605741299999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013929-414167__authorization-memory-writer_ttc__procurement-v1-nemotron-k8-deepseek-independent-review,nemotron_3_ultra_baseten,8,gptoss_baseten,288,0,0,0.082591
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014053-627975__authorization-memory-writer_ttc__procurement-v1-glm-k8-deepseek-independent-review,glm_5_2_baseten,8,deepseek_baseten,48,3,3,0.9178450699999999
independent_review,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014053-627975__authorization-memory-writer_ttc__procurement-v1-glm-k8-deepseek-independent-review,glm_5_2_baseten,8,gptoss_baseten,288,0,0,0.0832275
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-001758-731890__authorization-memory-writer_ttc__procurement-v1-qwen-k2-typed-oracle-replay-network,qwen_plus_0728_openrouter,2,gptoss_baseten,66,0,0,0.018032299999999998
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-001831-629470__authorization-memory-writer_ttc__procurement-v1-qwen-k4-typed-oracle-replay-network,qwen_plus_0728_openrouter,4,gptoss_baseten,120,0,0,0.0321242
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-001833-933574__authorization-memory-writer_ttc__procurement-v1-nemotron-k2-typed-oracle-replay-network,nemotron_3_ultra_baseten,2,gptoss_baseten,72,0,0,0.01958
typed_oracle_replay,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002033-074376__authorization-memory-writer_ttc__procurement-v1-grok-k2-typed-oracle-replay-network,grok_4_3_openrouter,2,gptoss_baseten,78,0,0,0.020021399999999998
