artifact,condition_id,count,cue_level,denominator,rate,stage,status,writer_target
attempt,incremental_text,109,l0,324,0.33641975308641975,writer,accepted,glm_5_2_baseten
attempt,incremental_text,215,l0,324,0.6635802469135802,writer,invalid_payload,glm_5_2_baseten
state,incremental_text,109,l0,198,0.5505050505050505,writer,accepted,glm_5_2_baseten
state,incremental_text,89,l0,198,0.4494949494949495,writer,retained_after_failed_update,glm_5_2_baseten
attempt,incremental_typed,152,l0,203,0.7487684729064039,writer,accepted,glm_5_2_baseten
attempt,incremental_typed,6,l0,203,0.029556650246305417,writer,invalid_payload,glm_5_2_baseten
attempt,incremental_typed,44,l0,203,0.21674876847290642,writer,no_change,glm_5_2_baseten
attempt,incremental_typed,1,l0,203,0.0049261083743842365,writer,writer_error,glm_5_2_baseten
state,incremental_typed,152,l0,198,0.7676767676767676,writer,accepted,glm_5_2_baseten
state,incremental_typed,44,l0,198,0.2222222222222222,writer,no_change,glm_5_2_baseten
state,incremental_typed,2,l0,198,0.010101010101010102,writer,retained_after_failed_update,glm_5_2_baseten
attempt,one_shot_text,35,l0,41,0.8536585365853658,writer,accepted,glm_5_2_baseten
attempt,one_shot_text,6,l0,41,0.14634146341463414,writer,invalid_payload,glm_5_2_baseten
state,one_shot_text,35,l0,36,0.9722222222222222,writer,accepted,glm_5_2_baseten
state,one_shot_text,1,l0,36,0.027777777777777776,writer,retained_after_failed_update,glm_5_2_baseten
attempt,one_shot_typed,36,l0,44,0.8181818181818182,writer,accepted,glm_5_2_baseten
attempt,one_shot_typed,8,l0,44,0.18181818181818182,writer,writer_error,glm_5_2_baseten
state,one_shot_typed,36,l0,36,1.0,writer,accepted,glm_5_2_baseten
attempt,incremental_text,163,l0,199,0.8190954773869347,writer,accepted,grok_4_3_openrouter
attempt,incremental_text,1,l0,199,0.005025125628140704,writer,invalid_payload,grok_4_3_openrouter
attempt,incremental_text,35,l0,199,0.17587939698492464,writer,no_change,grok_4_3_openrouter
state,incremental_text,163,l0,198,0.8232323232323232,writer,accepted,grok_4_3_openrouter
state,incremental_text,35,l0,198,0.17676767676767677,writer,no_change,grok_4_3_openrouter
attempt,incremental_typed,105,l0,199,0.5276381909547738,writer,accepted,grok_4_3_openrouter
attempt,incremental_typed,93,l0,199,0.46733668341708545,writer,no_change,grok_4_3_openrouter
attempt,incremental_typed,1,l0,199,0.005025125628140704,writer,writer_error,grok_4_3_openrouter
state,incremental_typed,105,l0,198,0.5303030303030303,writer,accepted,grok_4_3_openrouter
state,incremental_typed,93,l0,198,0.4696969696969697,writer,no_change,grok_4_3_openrouter
attempt,one_shot_text,36,l0,36,1.0,writer,accepted,grok_4_3_openrouter
state,one_shot_text,36,l0,36,1.0,writer,accepted,grok_4_3_openrouter
attempt,one_shot_typed,36,l0,36,1.0,writer,accepted,grok_4_3_openrouter
state,one_shot_typed,36,l0,36,1.0,writer,accepted,grok_4_3_openrouter
attempt,incremental_text,182,l0,214,0.8504672897196262,writer,accepted,kimi_baseten
attempt,incremental_text,25,l0,214,0.11682242990654206,writer,invalid_payload,kimi_baseten
attempt,incremental_text,7,l0,214,0.03271028037383177,writer,no_change,kimi_baseten
state,incremental_text,182,l0,198,0.9191919191919192,writer,accepted,kimi_baseten
state,incremental_text,7,l0,198,0.03535353535353535,writer,no_change,kimi_baseten
state,incremental_text,9,l0,198,0.045454545454545456,writer,retained_after_failed_update,kimi_baseten
attempt,incremental_typed,151,l0,206,0.7330097087378641,writer,accepted,kimi_baseten
attempt,incremental_typed,6,l0,206,0.02912621359223301,writer,invalid_payload,kimi_baseten
attempt,incremental_typed,45,l0,206,0.21844660194174756,writer,no_change,kimi_baseten
attempt,incremental_typed,4,l0,206,0.019417475728155338,writer,writer_error,kimi_baseten
state,incremental_typed,151,l0,198,0.7626262626262627,writer,accepted,kimi_baseten
state,incremental_typed,45,l0,198,0.22727272727272727,writer,no_change,kimi_baseten
state,incremental_typed,2,l0,198,0.010101010101010102,writer,retained_after_failed_update,kimi_baseten
