k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_b020ee83b09bf48b115e123a,False,5,False,3,1,2,True,1,True,1,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_db1984ecd95ac79f61986bf5,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_9ea4668da6efe11f0891621e,False,2,False,1,1,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_f6c4e27ae63b33dcd268cb1f,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_12bd45094a52d377c90dd634,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_d6bd9df6a66a9aff219ce5b2,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_b5303a8af0078ec9c4c6cfd9,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_43c036e53ecb67e91d9356a1,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_9386897f8a9280340e6673b7,False,3,False,2,2,0,True,1,True,1,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_8d3e0a744379015fc22e92e6,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_cd5a240fd750c85aaa2b1b94,False,6,False,4,3,1,True,3,True,3,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_bd6c6acb556eac37bb6989b6,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_36a934f7961778b52817c4fe,False,4,False,3,2,0,True,2,True,2,False,0
1,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,0,mem_250eed6453c85b14b25355c4,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_f05c85dbcbb9c81b27208b5b,False,2,False,1,0,1,True,3,False,0,True,3
1,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_2ef7d913c52ceba7e675087a,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,0,mem_118db17838e43e82ef2c3a7e,False,4,False,2,0,1,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_5a56f2d6b50453bb7e349597,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,incremental_typed,incremental,typed,0,mem_915fc0a28e39800720a6dcf9,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_15895b780cf50656fcd5dd71,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_0a20a2cafaa93b9efb18940c,False,4,False,3,3,0,True,3,True,3,False,0
1,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_70b1c06d9fc52a7945a90490,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_5da381a62e5a33520eacb193,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_e9e95f35fe96216bf19b11ea,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_b020ee83b09bf48b115e123a,False,5,False,3,1,2,True,1,True,1,False,0
2,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_22bb90ea016acc6423cbe5e2,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,1,mem_aac4a264f33046472597e44e,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_f6c4e27ae63b33dcd268cb1f,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,1,mem_030288b5ffbe30edf074f48c,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,1,mem_a3605b934110ca54694032b9,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_b5303a8af0078ec9c4c6cfd9,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,1,mem_2b2ff6de09b22b1f5ca82282,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_9386897f8a9280340e6673b7,False,3,False,2,2,0,True,1,True,1,False,0
2,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_8d3e0a744379015fc22e92e6,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_cd5a240fd750c85aaa2b1b94,False,6,False,4,3,1,True,3,True,3,False,0
2,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,1,mem_d10852dabaa9f8135083853f,False,5,False,3,3,0,True,2,True,2,False,0
2,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_36a934f7961778b52817c4fe,False,4,False,3,2,0,True,2,True,2,False,0
2,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,1,mem_89f66027f494a1cd953fa175,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,1,mem_2fd52be6302a83b816d46adb,False,1,True,0,0,0,False,0,False,0,False,0
