k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_962946ea9e05dfa9fcc527f5,False,2,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_073d98ac0e38a47ad7259b2a,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_97cd049c0f2d5ea2855f13a9,False,2,False,1,1,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_59a0b028359a8c64036395d7,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_1396414b6ca2f5995a384c7c,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_c9fa76c0af4e33dde743e9c9,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_06e80b65b112cb0de9c47a11,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_ae8b804a1e08d25ff4b659d8,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_46443b64972a4125a768b80a,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_a3196a734f20293a30158854,False,4,False,3,1,1,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_856967ba876fb959b00ae011,False,5,False,3,1,2,True,2,True,2,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_965ef4f6d7769aea9288150c,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_1e4c026b659c736823b61e5a,False,4,False,3,2,0,True,2,True,2,False,0
1,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,0,mem_135fcba8c8caf2b28755bbc4,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_cf4fc0c903784bf3f465d8e9,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_45e37eb9abaea1eb27447fd7,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,0,mem_8fe901611cd4417cf862c752,False,2,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_95a7eb8b44c2dfa5f0ba3867,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,incremental_typed,incremental,typed,0,mem_e9b50d4994462a3ee0b1fe8b,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_59b07e48b3ae54ee48dd5856,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_89f969c9c72e7b239c2b1fb1,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_a8624c00a3451cc551e0c323,False,4,False,3,2,1,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_91e1de3c4d1eae202c53d125,False,3,False,2,1,1,True,2,True,2,False,0
1,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_8680abbd25f340e98cf9cd8f,False,4,False,3,2,1,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,1,mem_d26f2b41f1d3b8c0e89a834f,False,3,False,1,0,1,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_3a4327b48984c4cd216fdcb0,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,1,mem_da6b95951d32ab77656ba4b9,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_59a0b028359a8c64036395d7,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,1,mem_9b25055f3f73d3de29c1e1b0,False,4,False,3,3,0,True,2,True,2,False,0
2,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,1,mem_ba971f4fd7c20e6aabec2170,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,1,mem_6121e25bd4bf7b5b317fbaec,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,1,mem_6881e62682283a88c429c6cc,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,1,mem_f245f3cda3cc406b00cdf1d4,False,4,False,3,3,0,True,2,True,2,False,0
2,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_a3196a734f20293a30158854,False,4,False,3,1,1,False,0,False,0,False,0
2,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_856967ba876fb959b00ae011,False,5,False,3,1,2,True,2,True,2,False,0
2,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_965ef4f6d7769aea9288150c,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_1e4c026b659c736823b61e5a,False,4,False,3,2,0,True,2,True,2,False,0
2,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,1,mem_4fe80e1cf65e07d118c4cefb,False,4,False,3,2,1,False,0,False,0,False,0
2,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_cf4fc0c903784bf3f465d8e9,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_45e37eb9abaea1eb27447fd7,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,1,mem_d0a46634a475dd9c8e0f8aa3,False,3,False,1,0,1,False,0,False,0,False,0
2,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_95a7eb8b44c2dfa5f0ba3867,False,2,False,1,0,0,False,0,False,0,False,0
2,procurement_v1_software_license_grant,incremental_typed,incremental,typed,1,mem_2f739ab392fea817dfb54f9b,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_59b07e48b3ae54ee48dd5856,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_89f969c9c72e7b239c2b1fb1,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_a8624c00a3451cc551e0c323,False,4,False,3,2,1,False,0,False,0,False,0
2,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_91e1de3c4d1eae202c53d125,False,3,False,2,1,1,True,2,True,2,False,0
2,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_8680abbd25f340e98cf9cd8f,False,4,False,3,2,1,False,0,False,0,False,0
4,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,1,mem_d26f2b41f1d3b8c0e89a834f,False,3,False,1,0,1,False,0,False,0,False,0
4,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_3a4327b48984c4cd216fdcb0,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,1,mem_da6b95951d32ab77656ba4b9,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,2,mem_b3633cc53dd32c4f69c30efb,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,1,mem_9b25055f3f73d3de29c1e1b0,False,4,False,3,3,0,True,2,True,2,False,0
4,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,1,mem_ba971f4fd7c20e6aabec2170,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,1,mem_6121e25bd4bf7b5b317fbaec,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,1,mem_6881e62682283a88c429c6cc,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,1,mem_f245f3cda3cc406b00cdf1d4,False,4,False,3,3,0,True,2,True,2,False,0
4,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_a3196a734f20293a30158854,False,4,False,3,1,1,False,0,False,0,False,0
4,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_856967ba876fb959b00ae011,False,5,False,3,1,2,True,2,True,2,False,0
4,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_965ef4f6d7769aea9288150c,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_1e4c026b659c736823b61e5a,False,4,False,3,2,0,True,2,True,2,False,0
4,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,1,mem_4fe80e1cf65e07d118c4cefb,False,4,False,3,2,1,False,0,False,0,False,0
4,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_cf4fc0c903784bf3f465d8e9,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_45e37eb9abaea1eb27447fd7,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,1,mem_d0a46634a475dd9c8e0f8aa3,False,3,False,1,0,1,False,0,False,0,False,0
4,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_95a7eb8b44c2dfa5f0ba3867,False,2,False,1,0,0,False,0,False,0,False,0
4,procurement_v1_software_license_grant,incremental_typed,incremental,typed,1,mem_2f739ab392fea817dfb54f9b,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_59b07e48b3ae54ee48dd5856,True,0,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_89f969c9c72e7b239c2b1fb1,False,1,True,0,0,0,False,0,False,0,False,0
4,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_a8624c00a3451cc551e0c323,False,4,False,3,2,1,False,0,False,0,False,0
4,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_91e1de3c4d1eae202c53d125,False,3,False,2,1,1,True,2,True,2,False,0
4,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_8680abbd25f340e98cf9cd8f,False,4,False,3,2,1,False,0,False,0,False,0
8,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,6,mem_4d0091cc4630668a6cfbe4a8,False,3,False,1,0,1,False,0,False,0,False,0
8,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_3a4327b48984c4cd216fdcb0,True,0,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,4,mem_ccf67e9477c4d71d917ee0ff,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,4,mem_94164a05a0e1b298d4e3ae08,False,4,False,3,2,1,False,0,False,0,False,0
8,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,4,mem_8f34ddd1f70960edfda3bb27,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,1,mem_ba971f4fd7c20e6aabec2170,True,0,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,5,mem_625e644fc080b70fbbaca177,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,6,mem_d25f5e8e3fa220e33c37d300,True,0,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,1,mem_f245f3cda3cc406b00cdf1d4,False,4,False,3,3,0,True,2,True,2,False,0
8,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_a3196a734f20293a30158854,False,4,False,3,1,1,False,0,False,0,False,0
8,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,3,mem_28b948d8db535aa40772b516,False,6,False,4,3,1,True,2,True,2,False,0
8,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,5,mem_316dcd7dc59e756248c42452,True,0,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,4,mem_039db38c4858f5af1ce5fa81,False,4,False,3,2,0,True,2,True,2,False,0
8,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,4,mem_ba8648bc02678351ffa7bc17,False,3,False,3,1,1,False,0,False,0,False,0
8,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_cf4fc0c903784bf3f465d8e9,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,1,mem_039317a7ba8ff983732c2b5a,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,1,mem_d0a46634a475dd9c8e0f8aa3,False,3,False,1,0,1,False,0,False,0,False,0
8,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,3,mem_fab989abc825a5114163097d,False,3,False,1,0,0,False,0,False,0,False,0
8,procurement_v1_software_license_grant,incremental_typed,incremental,typed,5,mem_87a2b996d19fb4306dfc94f7,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,3,mem_1b0a900f202188bfd0bd43bc,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,3,mem_34efb6dc0573420325d078e7,False,1,True,0,0,0,False,0,False,0,False,0
8,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,3,mem_a2fe67623bf1f5cdcfbb3caf,False,4,False,3,2,1,False,0,False,0,False,0
8,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_91e1de3c4d1eae202c53d125,False,3,False,2,1,1,True,2,True,2,False,0
8,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,4,mem_555ae884043b6b38acecba98,False,4,False,3,2,1,False,0,False,0,False,0
