writer_label,writer_target,k,case_id,condition_id,method,selected_candidate_index,oracle_candidate_index,pool_contains_exact,selected_exact,selected_semantic_exact,field_error_count,semantic_field_error_count,selection_regret_fields,oracle_hit,authorization_error,apparent_authority,lost_authority,mean_overgrant_fields,mean_undergrant_fields,review_status,review_failed
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,incremental_typed,self_review,1,0,False,False,False,3,1,1,False,False,False,False,0,1,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,incremental_typed,deepseek_review,1,0,False,False,False,3,1,1,False,False,False,False,0,1,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,incremental_typed,oracle_best,0,0,False,False,True,2,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,one_shot_typed,self_review,1,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,one_shot_typed,deepseek_review,1,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_calibration_revoke_replace,one_shot_typed,oracle_best,0,0,True,True,True,0,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,incremental_typed,self_review,1,1,False,False,True,1,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,incremental_typed,deepseek_review,1,1,False,False,True,1,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,incremental_typed,oracle_best,1,1,False,False,True,1,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,one_shot_typed,self_review,0,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,one_shot_typed,deepseek_review,1,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_catering_category_narrowing,one_shot_typed,oracle_best,0,0,True,True,True,0,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,incremental_typed,self_review,1,0,False,False,False,4,3,0,True,True,True,False,3,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,incremental_typed,deepseek_review,0,0,False,False,False,4,3,0,True,True,True,False,3,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,incremental_typed,oracle_best,0,0,False,False,False,4,3,0,True,True,True,False,3,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,one_shot_typed,self_review,1,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,one_shot_typed,deepseek_review,0,0,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_cloud_spend_narrowing,one_shot_typed,oracle_best,0,0,True,True,True,0,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,incremental_typed,self_review,1,0,False,False,True,1,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,incremental_typed,deepseek_review,0,0,False,False,True,1,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,incremental_typed,oracle_best,0,0,False,False,True,1,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,one_shot_typed,self_review,1,1,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,one_shot_typed,deepseek_review,1,1,True,True,True,0,0,0,True,False,False,False,0,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_facilities_emergency_grant,one_shot_typed,oracle_best,1,1,True,True,True,0,0,0,True,False,False,False,0,0,deterministic_typed_oracle,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_freight_vendor_change,incremental_typed,self_review,1,0,False,False,False,4,3,0,True,True,True,False,3,0,selected,False
GLM 5.2,glm_5_2_baseten,2,procurement_v1_freight_vendor_change,incremental_typed,deepseek_review,1,0,False,False,False,4,3,0,True,True,True,False,3,0,selected,False
