k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_9b7816d492e602cc437a3b41,False,3,False,1,0,1,False,0,False,0,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_be165f749b0c4ac4eed294b8,False,4,False,3,0,2,True,3,False,0,True,3
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_684a52d6c59bd61ca8d2ba7c,False,3,False,2,1,1,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_0b353978b429fbfdaa4ecd38,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_2a952fb34698953b6ae79d60,False,4,False,3,3,0,True,3,True,3,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_8c423033be67e1a90384d433,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_b09f132f39883c38a59e3fac,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_63770ad82bbc25c119701f8a,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_2251814e2a22bfa3cc217c23,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_f02905702bbbad772d024412,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_c656cd4654f3512876f59fc9,False,7,False,5,3,1,True,2,True,2,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_5c85c1b39e1704063253f3f2,False,3,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_8058707a3ecb7d2745f5e00a,False,4,False,3,2,0,True,2,True,2,False,0
1,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,0,mem_3b2075942f8d3065ddaff26b,False,1,False,1,0,1,True,3,False,0,True,3
1,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_3489f338c111a2299f64177c,False,3,False,2,1,1,True,3,False,0,True,3
1,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_635be41f6ace6995cce51157,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,0,mem_2419502cde488f24c6e3cc4c,False,5,False,3,0,2,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_d152197c3fa97c97ecd55fe9,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,incremental_typed,incremental,typed,0,mem_8625a22cf2c9fcb861e1fa5a,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_e41e0d5ca158c2b40e9f2472,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_2b1ed67153fecc09389f2fd0,False,3,False,2,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_cdd1a0f4f4ddcadc263ce3f2,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_6bd4a1b0b7926d3e9b963154,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_52e3bc90dfe5a09043bf9d99,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_9b7816d492e602cc437a3b41,False,3,False,1,0,1,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_4f7d11b35fd6de728c304625,False,3,False,1,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_684a52d6c59bd61ca8d2ba7c,False,3,False,2,1,1,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,1,mem_e75c230d2e67a118aca303dc,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_2a952fb34698953b6ae79d60,False,4,False,3,3,0,True,3,True,3,False,0
2,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_8c423033be67e1a90384d433,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_b09f132f39883c38a59e3fac,False,1,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_63770ad82bbc25c119701f8a,True,0,True,0,0,0,False,0,False,0,False,0
