writer_target,k,source_run,source_manifest_sha256,independent_run,independent_manifest_sha256,oracle_run,oracle_manifest_sha256,candidate_hashes_verified,reviewer_surface_hashes_verified
glm_5_2_baseten,2,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-210831-239580__authorization-memory-writer_ttc__procurement-v1-glm-ttc-k2-4writer-retry,cdb42d5e88e143a1bca6f02982b300b21f42f5a297ba9ff843d656bc799afbea,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234050-707546__authorization-memory-writer_ttc__procurement-v1-glm-k2-deepseek-independent-review,2b4e2894c6fc36599f8b0e24e30ba1491f83648e58d8be32130366c495847c31,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002202-512822__authorization-memory-writer_ttc__procurement-v1-glm-k2-typed-oracle-replay-network,4a32fa43ce6234d6cd5e1dc4b319930a58cc359aa4c04cdef2b60bdd15f1e309,96,48
glm_5_2_baseten,4,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-211630-403934__authorization-memory-writer_ttc__procurement-v1-glm-ttc-k4-4writer,12bd77759edd040e8c9ab895795d38765637ac2b02b91c1951aa50328e274ba8,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234750-797595__authorization-memory-writer_ttc__procurement-v1-glm-k4-deepseek-independent-review,58c76eb5f5383bc92cb125f079049c0661a95abef3c48874aee35473ba26925e,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002238-718692__authorization-memory-writer_ttc__procurement-v1-glm-k4-typed-oracle-replay-network,018162bad2189d7209fd4d2dcf4979f3d5ae73c941ae723da2177380b32ab3c2,192,48
glm_5_2_baseten,8,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-011212-080591__authorization-memory-writer_ttc__procurement-v1-glm-k8,ccd3d82770aeb2c63cae3cb393840ce720e55fa528f77c771fec451c0fca2b9a,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014053-627975__authorization-memory-writer_ttc__procurement-v1-glm-k8-deepseek-independent-review,065c7d8a2d65b4877e6349313d3a5d25ba038c178b2363bdd84701a981bcce23,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014441-810405__authorization-memory-writer_ttc__procurement-v1-glm-k8-typed-oracle-replay-network,5feeb5b2596551161f75288ecccd0f25462466b7fb1e5aff74ce5c951ba52660,384,48
grok_4_3_openrouter,2,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-205214-448388__authorization-memory-writer_ttc__procurement-v1-grok-ttc-k2-4writer,118c396525c8c74f5eb9eb637fd500eaad987b93fc18fdd95f1ff4750482ecd9,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233727-637907__authorization-memory-writer_ttc__procurement-v1-grok-k2-deepseek-independent-review,26d3aa02fb1d8c66fa8b568aceb3a9d3343e0295fc1baa70bc1d12d38c235b1b,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002033-074376__authorization-memory-writer_ttc__procurement-v1-grok-k2-typed-oracle-replay-network,f0e712fec66d8fff7606d5e35dfee0e79df7489c1f9ddec4aceaec4453d86069,96,48
grok_4_3_openrouter,4,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-221345-180977__authorization-memory-writer_ttc__procurement-v1-grok-ttc-k4-4writer-clean,64804bf2d9cc6db8dd8213a9ad4a625befa8dff4927f6875c786ed48c4ee3c7c,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234532-148331__authorization-memory-writer_ttc__procurement-v1-grok-k4-deepseek-independent-review,fbfb37502b25aa6db537c2bee8da69d8baba1477976f1a7f5829097445f2608c,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002120-563500__authorization-memory-writer_ttc__procurement-v1-grok-k4-typed-oracle-replay-network,a8601edfed6eabd96b5f8a9531752a569cf80b3d7a7cc07a35bc7b3149de6e27,192,48
grok_4_3_openrouter,8,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-010444-213269__authorization-memory-writer_ttc__procurement-v1-grok-k8,f36d7a37b42dc86925763f7e42c09fda14663da52562de7183bc46ee222dbe46,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013816-250409__authorization-memory-writer_ttc__procurement-v1-grok-k8-deepseek-independent-review,0cd695d824c83a9823a4f17a30710789a3fd2bde736afa07e3db5d592bec369e,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014348-304105__authorization-memory-writer_ttc__procurement-v1-grok-k8-typed-oracle-replay-network,d06084e73cbaf6dbea5df3dd11c0069385ad8fabb35d4c41f452af6a6493fb72,384,48
kimi_baseten,2,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-204231-099365__authorization-memory-writer_ttc__procurement-v1-kimi-ttc-k2-4writer,6fa16f94ad3dd3648d067ca6f52df9564d48e1480325d30b946c34446acc88d3,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233831-375645__authorization-memory-writer_ttc__procurement-v1-kimi-k2-deepseek-independent-review,dd66fda315f083e24474002a7b085dde6f7591db261e14891fc3e12e63f04580,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002121-835593__authorization-memory-writer_ttc__procurement-v1-kimi-k2-typed-oracle-replay-network,5149897ddb98ba429718cfc21ce565d8eecb74944b03ba4d0baf88ce3e02e5c2,96,48
kimi_baseten,4,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-204604-422546__authorization-memory-writer_ttc__procurement-v1-kimi-ttc-k4-4writer,1dcaae943d3b3575ecb1911be646f4a10bc1a8c15720ed77ee4a718b62bd3609,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-234643-441037__authorization-memory-writer_ttc__procurement-v1-kimi-k4-deepseek-independent-review,42c7e7a58cab9d07a7072876e32af30881603e59da094d78ec5ca890018b3552,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-002203-630427__authorization-memory-writer_ttc__procurement-v1-kimi-k4-typed-oracle-replay-network,7200b724b6a1c290e8b25234b11cf071839beff45add3134bc77881d76cf4572,192,48
kimi_baseten,8,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-010352-842515__authorization-memory-writer_ttc__procurement-v1-kimi-k8,285cfaf6bd2b818e6994f5db9e4fae4d9636ff81e788c73fe04790ceb3f37b50,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-013701-233023__authorization-memory-writer_ttc__procurement-v1-kimi-k8-deepseek-independent-review,158be6642086922f160f89c87c20cbbeaca597f8146ceb3a357216902f0e83d7,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-014315-986282__authorization-memory-writer_ttc__procurement-v1-kimi-k8-typed-oracle-replay-network,810e25ebe2a540d5e5e8514b8798d3875a2345fbfda009576ef755ef94b5f2f4,384,48
nemotron_3_ultra_baseten,2,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-202606-735967__authorization-memory-writer_ttc__procurement-v1-nemotron-ttc-k2-4writer,e8bbc44ee98cd713405c74fabbfef3c16a733d369af326898c9dbd535a8fa867,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260814-233620-661229__authorization-memory-writer_ttc__procurement-v1-nemotron-k2-deepseek-independent-review,933debefecc5d043f9d7e804f9610356b4a2c22dafd1f8fd98b9a42b4c3369d8,/Users/tommasocerruti/Workspace/eal-bench/results/procurement/20260815-001833-933574__authorization-memory-writer_ttc__procurement-v1-nemotron-k2-typed-oracle-replay-network,f44ab5e34965a9f72eb3c03e6f3161a90f1c442142e423dc7a04d20e957c3656,96,48
