k,case_id,condition_id,write_mode,memory_format,selected_candidate_index,memory_id,fidelity_exact,field_error_count,semantic_exact,semantic_field_error_count,overgrant_field_count,undergrant_field_count,authorization_error,authorization_mismatch_count,apparent_authority,apparent_authority_probe_count,lost_authority,lost_authority_probe_count
1,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_cc586bb0cde81f9b3f0dda19,False,4,False,2,2,0,True,1,True,1,False,0
1,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,0,mem_2e71914fb34d23a56436d6a8,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_cfa030b8b99c47cdfee92886,False,2,False,1,1,0,False,0,False,0,False,0
1,procurement_v1_catering_category_narrowing,one_shot_typed,one_shot,typed,0,mem_d5195a8a5b3c1b6fd0bb377d,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,incremental_typed,incremental,typed,0,mem_683489a3eac15611831ca6fe,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_cloud_spend_narrowing,one_shot_typed,one_shot,typed,0,mem_bdc6b3889b857d1645e09d34,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,incremental_typed,incremental,typed,0,mem_e84ee7dc15ed78e93efc1558,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_facilities_emergency_grant,one_shot_typed,one_shot,typed,0,mem_6669c0170b6da934112665ed,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_freight_vendor_change,incremental_typed,incremental,typed,0,mem_d7e812bfe63334c43b8d46ec,False,3,False,2,2,0,True,1,True,1,False,0
1,procurement_v1_freight_vendor_change,one_shot_typed,one_shot,typed,0,mem_d7e6c6a98da050279928bbad,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_hardware_revoke_replace,incremental_typed,incremental,typed,0,mem_1a3d7ecb7df381935835c5a3,False,6,False,4,3,1,True,2,True,2,False,0
1,procurement_v1_hardware_revoke_replace,one_shot_typed,one_shot,typed,0,mem_b0367e8068a2cfd4098a7f2b,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_print_budget_narrowing,incremental_typed,incremental,typed,0,mem_45be50d3d0ab536a9341e0c3,False,4,False,3,2,0,True,2,True,2,False,0
1,procurement_v1_print_budget_narrowing,one_shot_typed,one_shot,typed,0,mem_3f5dfa3cee029a52ee8caa71,False,4,False,3,2,1,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,incremental_typed,incremental,typed,0,mem_0263f4812a86ad92055c8073,False,1,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_reagent_window_narrowing,one_shot_typed,one_shot,typed,0,mem_d925bf03e4afd6082cbef8f3,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,incremental_typed,incremental,typed,0,mem_001a7d0ee594ce81f9193b61,False,7,False,5,0,2,False,0,False,0,False,0
1,procurement_v1_relocation_revoke_replace,one_shot_typed,one_shot,typed,0,mem_14002d8c3c2f4a03fecec28f,False,2,False,1,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,incremental_typed,incremental,typed,0,mem_908d5ce9af7f056cbe0bdf16,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_software_license_grant,one_shot_typed,one_shot,typed,0,mem_0853f2914ed41ab9c66e47ad,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_spare_parts_time_shift,incremental_typed,incremental,typed,0,mem_f845f22b0ebdbf5e4a1169cd,False,1,False,1,1,0,True,3,True,3,False,0
1,procurement_v1_spare_parts_time_shift,one_shot_typed,one_shot,typed,0,mem_fefa087582e015e427c484f0,True,0,True,0,0,0,False,0,False,0,False,0
1,procurement_v1_staffing_category_narrowing,incremental_typed,incremental,typed,0,mem_45ee176fded77b8b9ce5886e,False,4,False,3,3,0,True,2,True,2,False,0
1,procurement_v1_staffing_category_narrowing,one_shot_typed,one_shot,typed,0,mem_7ce3c0419f69f09a5ef95577,True,0,True,0,0,0,False,0,False,0,False,0
2,procurement_v1_calibration_revoke_replace,incremental_typed,incremental,typed,0,mem_cc586bb0cde81f9b3f0dda19,False,4,False,2,2,0,True,1,True,1,False,0
2,procurement_v1_calibration_revoke_replace,one_shot_typed,one_shot,typed,1,mem_293defdf21031b19941dc859,False,2,False,1,0,0,False,0,False,0,False,0
2,procurement_v1_catering_category_narrowing,incremental_typed,incremental,typed,0,mem_cfa030b8b99c47cdfee92886,False,2,False,1,1,0,False,0,False,0,False,0
