artifact,condition_id,count,cue_level,denominator,rate,stage,status,writer_target
attempt,incremental_text,148,l0,299,0.49498327759197325,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,151,l0,299,0.5050167224080268,writer,invalid_payload,deepseek_v4_1_flash_baseten
state,incremental_text,148,l0,198,0.7474747474747475,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_text,50,l0,198,0.25252525252525254,writer,retained_after_failed_update,deepseek_v4_1_flash_baseten
attempt,incremental_typed,114,l0,200,0.57,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_typed,84,l0,200,0.42,writer,no_change,deepseek_v4_1_flash_baseten
attempt,incremental_typed,2,l0,200,0.01,writer,writer_error,deepseek_v4_1_flash_baseten
state,incremental_typed,114,l0,198,0.5757575757575758,writer,accepted,deepseek_v4_1_flash_baseten
state,incremental_typed,84,l0,198,0.42424242424242425,writer,no_change,deepseek_v4_1_flash_baseten
attempt,one_shot_text,36,l0,41,0.8780487804878049,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_text,5,l0,41,0.12195121951219512,writer,invalid_payload,deepseek_v4_1_flash_baseten
state,one_shot_text,36,l0,36,1.0,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,36,l0,39,0.9230769230769231,writer,accepted,deepseek_v4_1_flash_baseten
attempt,one_shot_typed,3,l0,39,0.07692307692307693,writer,writer_error,deepseek_v4_1_flash_baseten
state,one_shot_typed,36,l0,36,1.0,writer,accepted,deepseek_v4_1_flash_baseten
attempt,incremental_text,110,l0,317,0.3470031545741325,writer,accepted,inkling_baseten
attempt,incremental_text,182,l0,317,0.5741324921135647,writer,invalid_payload,inkling_baseten
attempt,incremental_text,25,l0,317,0.07886435331230283,writer,writer_error,inkling_baseten
state,incremental_text,110,l0,198,0.5555555555555556,writer,accepted,inkling_baseten
state,incremental_text,88,l0,198,0.4444444444444444,writer,retained_after_failed_update,inkling_baseten
attempt,incremental_typed,164,l0,212,0.7735849056603774,writer,accepted,inkling_baseten
attempt,incremental_typed,4,l0,212,0.018867924528301886,writer,invalid_payload,inkling_baseten
attempt,incremental_typed,34,l0,212,0.16037735849056603,writer,no_change,inkling_baseten
attempt,incremental_typed,10,l0,212,0.04716981132075472,writer,writer_error,inkling_baseten
state,incremental_typed,164,l0,198,0.8282828282828283,writer,accepted,inkling_baseten
state,incremental_typed,34,l0,198,0.1717171717171717,writer,no_change,inkling_baseten
attempt,one_shot_text,34,l0,47,0.723404255319149,writer,accepted,inkling_baseten
attempt,one_shot_text,4,l0,47,0.0851063829787234,writer,invalid_payload,inkling_baseten
